#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution"/>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution id="coalescent" spec="beast.structuredCoalescent.distribution.Masco">
#            <parameter id="stepSize" name="timeStep">0.01</parameter>
#            <parameter dimension="2" id="coalRates" name="coalescentRates">2.0 4.0</parameter>
#            <parameter dimension="2" id="migRates" name="migrationRates" upper="140.0">0.001 0.01</parameter>
#            <dim id="IntegerParameter" lower="0" spec="beast.core.parameter.IntegerParameter" upper="0">2</dim>
#            <structuredTreeIntervals id="TreeIntervals" spec="beast.structuredCoalescent.distribution.StructuredTreeIntervals">
#                <tree id="NewickTree.t:Species"/>
#            </structuredTreeIntervals>
#        </distribution>
#    </distribution>
#</input>
#
Sample	migRates1	migRates2	coalRates1	coalRates2	posterior
103	0.0078418379462155	0.01	2.0	4.0	-105.25475464273222
104	0.007998674705139812	0.01	2.0	4.0	-105.22453278035309
105	0.008158648199242608	0.01	2.0	4.0	-105.19424681922655
106	0.00832182116322746	0.01	2.0	4.0	-105.16390369809737
107	0.008488257586492009	0.01	2.0	4.0	-105.13351041774862
108	0.00865802273822185	0.01	2.0	4.0	-105.10307404127752
109	0.008831183192986286	0.01	2.0	4.0	-105.07260169450733
110	0.009007806856846013	0.01	2.0	4.0	-105.04210056652785
111	0.009187962993982933	0.01	2.0	4.0	-105.01157791035975
112	0.009371722253862591	0.01	2.0	4.0	-104.98104104373641
113	0.009559156698939843	0.01	2.0	4.0	-104.95049734999836
114	0.00975033983291864	0.01	2.0	4.0	-104.91995427909498
115	0.009945346629577013	0.01	2.0	4.0	-104.88941934868886
116	0.010144253562168554	0.01	2.0	4.0	-104.85890014535852
117	0.010347138633411924	0.01	2.0	4.0	-104.82840432589533
118	0.010554081406080162	0.01	2.0	4.0	-104.7979396186909
119	0.010765163034201766	0.01	2.0	4.0	-104.76751382521188
120	0.010980466294885801	0.01	2.0	4.0	-104.73713482155868
121	0.011200075620783517	0.01	2.0	4.0	-104.70681056010618
122	0.011424077133199187	0.01	2.0	4.0	-104.67654907122346
123	0.011652558675863171	0.01	2.0	4.0	-104.64635846507117
124	0.011885609849380434	0.01	2.0	4.0	-104.61624693347476
125	0.012123322046368044	0.01	2.0	4.0	-104.58622275187207
126	0.012365788487295405	0.01	2.0	4.0	-104.5562942813348
127	0.012613104257041314	0.01	2.0	4.0	-104.5264699706629
